Metrica,Paper (FRPF-CSO),Tu Replicación,Diferencia (abs),Diferencia (%)
Accuracy,0.9572,0.8881545500762582,0.06904544992374184,-7.2132730802070455
Precision,0.948,0.8212634822804314,0.1267365177195685,-13.36883098307685
Recall,0.9621,0.8367346938775511,0.1253653061224489,-13.030382093592026
F1,0.9549,0.8289269051321928,0.12597309486780717,-13.19228137687791
AUC,0.9763,0.9505541719290376,0.025745828070962373,-2.63708164201192
RMSE,0.0421,0.28372041328508996,0.24162041328508996,573.9202215797861
MAE,0.0317,0.16752214666870896,0.13582214666870895,428.46103050065915
